Angle	RealHeight	Ref. Height	Distortion
25.8	0.506	0.5359	-5.5754
25.9	0.508	0.5383	-5.6208
26	0.51	0.5407	-5.6664
26.1	0.512	0.5431	-5.7121
26.2	0.514	0.5455	-5.7581
26.3	0.5161	0.5479	-5.8043
26.4	0.5181	0.5503	-5.8507
26.5	0.5201	0.5527	-5.8973
26.6	0.5221	0.5551	-5.9441
26.7	0.5241	0.5575	-5.9912
26.8	0.5261	0.5599	-6.0384
26.9	0.5282	0.5624	-6.0858
27	0.5302	0.5648	-6.1335
27.1	0.5322	0.5673	-6.1813
27.2	0.5342	0.5697	-6.2294
27.3	0.5362	0.5721	-6.2777
27.4	0.5382	0.5746	-6.3262
27.5	0.5403	0.5771	-6.3749
27.6	0.5423	0.5795	-6.4238
27.7	0.5443	0.582	-6.4729
27.8	0.5463	0.5844	-6.5222
27.9	0.5484	0.5869	-6.5718
28	0.5504	0.5894	-6.6215
28.1	0.5524	0.5919	-6.6715
28.2	0.5544	0.5944	-6.7217
28.3	0.5564	0.5969	-6.7721
28.4	0.5585	0.5994	-6.8227
28.5	0.5605	0.6019	-6.8735
28.6	0.5625	0.6044	-6.9246
28.7	0.5646	0.6069	-6.9758
28.8	0.5666	0.6094	-7.0273
28.9	0.5686	0.6119	-7.079
29	0.5706	0.6145	-7.1309
29.1	0.5727	0.617	-7.183
29.2	0.5747	0.6195	-7.2354
29.3	0.5767	0.6221	-7.2879
29.4	0.5788	0.6246	-7.3407
29.5	0.5808	0.6272	-7.3937
29.6	0.5828	0.6297	-7.4469
29.7	0.5849	0.6323	-7.5003
29.8	0.5869	0.6348	-7.554
29.9	0.5889	0.6374	-7.6078
30	0.591	0.64	-7.6619
30.1	0.593	0.6426	-7.7162
30.2	0.595	0.6452	-7.7708
30.3	0.5971	0.6478	-7.8255
30.4	0.5991	0.6504	-7.8805
30.5	0.6011	0.653	-7.9357
30.6	0.6032	0.6556	-7.9911
30.7	0.6052	0.6582	-8.0467
30.8	0.6073	0.6608	-8.1026
30.9	0.6093	0.6634	-8.1587
31	0.6113	0.6661	-8.215
31.1	0.6134	0.6687	-8.2715
31.2	0.6154	0.6713	-8.3283
31.3	0.6175	0.674	-8.3852
31.4	0.6195	0.6766	-8.4424
31.5	0.6216	0.6793	-8.4999
31.6	0.6236	0.682	-8.5575
31.7	0.6256	0.6846	-8.6154
31.8	0.6277	0.6873	-8.6735
31.9	0.6297	0.69	-8.7319
32	0.6318	0.6927	-8.7904
32.1	0.6338	0.6954	-8.8492
32.2	0.6359	0.6981	-8.9082
32.3	0.6379	0.7008	-8.9675
32.4	0.64	0.7035	-9.027
32.5	0.642	0.7062	-9.0867
32.6	0.6441	0.7089	-9.1466
32.7	0.6461	0.7116	-9.2068
32.8	0.6482	0.7144	-9.2672
32.9	0.6502	0.7171	-9.3278
33	0.6523	0.7199	-9.3887
33.1	0.6543	0.7226	-9.4498
33.2	0.6564	0.7254	-9.5111
33.3	0.6584	0.7282	-9.5727
33.4	0.6605	0.7309	-9.6345
33.5	0.6626	0.7337	-9.6965
33.6	0.6646	0.7365	-9.7588
33.7	0.6667	0.7393	-9.8213
33.8	0.6687	0.7421	-9.8841
33.9	0.6708	0.7449	-9.947
34	0.6728	0.7477	-10.0102
34.1	0.6749	0.7505	-10.0737
34.2	0.677	0.7533	-10.1374
34.3	0.679	0.7562	-10.2013
34.4	0.6811	0.759	-10.2655
34.5	0.6832	0.7619	-10.3299
34.6	0.6852	0.7647	-10.3945
34.7	0.6873	0.7676	-10.4594
34.8	0.6893	0.7704	-10.5245
34.9	0.6914	0.7733	-10.5899
35	0.6935	0.7762	-10.6555
35.1	0.6955	0.7791	-10.7213
35.2	0.6976	0.782	-10.7874
35.3	0.6997	0.7849	-10.8537
35.4	0.7017	0.7878	-10.9203
35.5	0.7038	0.7907	-10.9871
35.6	0.7059	0.7936	-11.0542
35.7	0.708	0.7965	-11.1215
35.8	0.71	0.7995	-11.189
35.9	0.7121	0.8024	-11.2568
36	0.7142	0.8054	-11.3248
36.1	0.7162	0.8083	-11.3931
36.2	0.7183	0.8113	-11.4617
36.3	0.7204	0.8143	-11.5304
36.4	0.7225	0.8173	-11.5995
36.5	0.7245	0.8203	-11.6687
36.6	0.7266	0.8232	-11.7383
36.7	0.7287	0.8263	-11.808
36.8	0.7308	0.8293	-11.8781
36.9	0.7328	0.8323	-11.9483
37	0.7349	0.8353	-12.0189
37.1	0.737	0.8384	-12.0896
37.2	0.7391	0.8414	-12.1607
37.3	0.7412	0.8445	-12.2319
37.4	0.7432	0.8475	-12.3035
37.5	0.7453	0.8506	-12.3752
37.6	0.7474	0.8537	-12.4473
37.7	0.7495	0.8567	-12.5196
37.8	0.7516	0.8598	-12.5921
37.9	0.7537	0.8629	-12.6649
38	0.7557	0.8661	-12.738
38.1	0.7578	0.8692	-12.8113
38.2	0.7599	0.8723	-12.8849
38.3	0.762	0.8754	-12.9587
38.4	0.7641	0.8786	-13.0328
38.5	0.7662	0.8817	-13.1072
38.6	0.7683	0.8849	-13.1818
38.7	0.7704	0.8881	-13.2566
38.8	0.7724	0.8913	-13.3318
38.9	0.7745	0.8945	-13.4071
39	0.7766	0.8976	-13.4828
39.1	0.7787	0.9009	-13.5587
39.2	0.7808	0.9041	-13.6349
39.3	0.7829	0.9073	-13.7113
39.4	0.785	0.9105	-13.788
39.5	0.7871	0.9138	-13.865
39.6	0.7892	0.917	-13.9422
39.7	0.7913	0.9203	-14.0197
39.8	0.7934	0.9236	-14.0975
39.9	0.7955	0.9269	-14.1755
40	0.7976	0.9301	-14.2538
40.1	0.7997	0.9334	-14.3324
40.2	0.8018	0.9368	-14.4112
40.3	0.8039	0.9401	-14.4903
40.4	0.806	0.9434	-14.5697
40.5	0.8081	0.9468	-14.6493
40.6	0.8102	0.9501	-14.7292
40.7	0.8123	0.9535	-14.8094
40.8	0.8144	0.9568	-14.8899
40.9	0.8165	0.9602	-14.9706
41	0.8186	0.9636	-15.0516
41.1	0.8207	0.967	-15.1329
41.2	0.8228	0.9704	-15.2144
41.3	0.8249	0.9738	-15.2963
41.4	0.827	0.9773	-15.3784
41.5	0.8291	0.9807	-15.4607
41.6	0.8312	0.9842	-15.5434
41.7	0.8333	0.9876	-15.6263
41.8	0.8354	0.9911	-15.7095
41.9	0.8375	0.9946	-15.793
42	0.8396	0.9981	-15.8768
42.1	0.8417	1.0016	-15.9608
42.2	0.8439	1.0051	-16.0451
42.3	0.846	1.0087	-16.1297
42.4	0.8481	1.0122	-16.2146
42.5	0.8502	1.0158	-16.2998
42.6	0.8523	1.0193	-16.3853
42.7	0.8544	1.0229	-16.471
42.8	0.8565	1.0265	-16.557
42.9	0.8586	1.0301	-16.6433
43	0.8608	1.0337	-16.7299
43.1	0.8629	1.0373	-16.8168
43.2	0.865	1.041	-16.904
43.3	0.8671	1.0446	-16.9914
43.4	0.8692	1.0483	-17.0792
43.5	0.8713	1.0519	-17.1672
43.6	0.8735	1.0556	-17.2555
43.7	0.8756	1.0593	-17.3441
43.8	0.8777	1.063	-17.433
43.9	0.8798	1.0667	-17.5222
44	0.8819	1.0705	-17.6117
44.1	0.8841	1.0742	-17.7015
44.2	0.8862	1.078	-17.7915
44.3	0.8883	1.0817	-17.8819
44.4	0.8904	1.0855	-17.9725
44.5	0.8926	1.0893	-18.0635
44.6	0.8947	1.0931	-18.1547
44.7	0.8968	1.097	-18.2463
44.8	0.8989	1.1008	-18.3381
44.9	0.9011	1.1046	-18.4303
45	0.9032	1.1085	-18.5227
45.1	0.9053	1.1124	-18.6154
45.2	0.9074	1.1163	-18.7085
45.3	0.9096	1.1202	-18.8018
45.4	0.9117	1.1241	-18.8955
45.5	0.9138	1.128	-18.9894
45.6	0.9159	1.132	-19.0837
45.7	0.9181	1.1359	-19.1782
45.8	0.9202	1.1399	-19.2731
45.9	0.9223	1.1439	-19.3682
46	0.9245	1.1479	-19.4637
46.1	0.9266	1.1519	-19.5595
46.2	0.9287	1.1559	-19.6555
46.3	0.9309	1.16	-19.7519
46.4	0.933	1.164	-19.8486
46.5	0.9351	1.1681	-19.9456
46.6	0.9373	1.1722	-20.0429
46.7	0.9394	1.1763	-20.1405
46.8	0.9415	1.1804	-20.2385
46.9	0.9437	1.1846	-20.3367
47	0.9458	1.1887	-20.4353
47.1	0.9479	1.1929	-20.5342
47.2	0.9501	1.1971	-20.6333
47.3	0.9522	1.2013	-20.7328
47.4	0.9544	1.2055	-20.8327
47.5	0.9565	1.2097	-20.9328
47.6	0.9586	1.214	-21.0332
47.7	0.9608	1.2182	-21.134
47.8	0.9629	1.2225	-21.2351
47.9	0.965	1.2268	-21.3365
48	0.9672	1.2311	-21.4382
48.1	0.9693	1.2354	-21.5403
48.2	0.9715	1.2398	-21.6426
48.3	0.9736	1.2442	-21.7453
48.4	0.9758	1.2485	-21.8483
48.5	0.9779	1.2529	-21.9517
48.6	0.98	1.2574	-22.0553
48.7	0.9822	1.2618	-22.1593
48.8	0.9843	1.2662	-22.2636
48.9	0.9865	1.2707	-22.3682
49	0.9886	1.2752	-22.4732
49.1	0.9908	1.2797	-22.5785
49.2	0.9929	1.2842	-22.6841
49.3	0.995	1.2888	-22.79
49.4	0.9972	1.2933	-22.8963
49.5	0.9993	1.2979	-23.0029
49.6	1.0015	1.3025	-23.1099
49.7	1.0036	1.3071	-23.2171
49.8	1.0058	1.3117	-23.3247
49.9	1.0079	1.3164	-23.4327
50	1.0101	1.3211	-23.5409
50.1	1.0122	1.3258	-23.6495
50.2	1.0144	1.3305	-23.7585
50.3	1.0165	1.3352	-23.8678
50.4	1.0187	1.34	-23.9774
50.5	1.0208	1.3447	-24.0873
50.6	1.023	1.3495	-24.1976
50.7	1.0251	1.3543	-24.3082
50.8	1.0273	1.3592	-24.4192
50.9	1.0294	1.364	-24.5305
51	1.0316	1.3689	-24.6422
51.1	1.0337	1.3738	-24.7542
51.2	1.0359	1.3787	-24.8665
51.3	1.038	1.3836	-24.9792
51.4	1.0402	1.3886	-25.0922
51.5	1.0423	1.3936	-25.2056
51.6	1.0445	1.3986	-25.3193
51.7	1.0466	1.4036	-25.4334
51.8	1.0488	1.4087	-25.5478
51.9	1.0509	1.4137	-25.6625
52	1.0531	1.4188	-25.7776
52.1	1.0552	1.4239	-25.8931
52.2	1.0574	1.4291	-26.0089
52.3	1.0595	1.4342	-26.1251
52.4	1.0617	1.4394	-26.2416
52.5	1.0638	1.4446	-26.3585
52.6	1.066	1.4499	-26.4757
52.7	1.0682	1.4551	-26.5932
52.8	1.0703	1.4604	-26.7112
52.9	1.0725	1.4657	-26.8294
53	1.0746	1.471	-26.9481
53.1	1.0768	1.4764	-27.0671
53.2	1.0789	1.4818	-27.1864
53.3	1.0811	1.4872	-27.3061
53.4	1.0832	1.4926	-27.4262
53.5	1.0854	1.4981	-27.5466
53.6	1.0875	1.5035	-27.6674
53.7	1.0897	1.509	-27.7886
53.8	1.0919	1.5146	-27.9101
53.9	1.094	1.5201	-28.032
54	1.0962	1.5257	-28.1542
54.1	1.0983	1.5313	-28.2768
54.2	1.1005	1.537	-28.3998
54.3	1.1026	1.5426	-28.5231
54.4	1.1048	1.5483	-28.6468
54.5	1.1069	1.5541	-28.7709
54.6	1.1091	1.5598	-28.8953
54.7	1.1113	1.5656	-29.0202
54.8	1.1134	1.5714	-29.1453
54.9	1.1156	1.5772	-29.2709
55	1.1177	1.5831	-29.3968
55.1	1.1199	1.589	-29.5231
55.2	1.122	1.5949	-29.6497
55.3	1.1242	1.6009	-29.7768
55.4	1.1263	1.6069	-29.9042
55.5	1.1285	1.6129	-30.032
55.6	1.1307	1.6189	-30.1601
55.7	1.1328	1.625	-30.2886
55.8	1.135	1.6311	-30.4176
55.9	1.1371	1.6373	-30.5468
56	1.1393	1.6434	-30.6765
56.1	1.1414	1.6496	-30.8065
56.2	1.1436	1.6559	-30.937
56.3	1.1457	1.6621	-31.0678
56.4	1.1479	1.6684	-31.199
56.5	1.1501	1.6748	-31.3305
56.6	1.1522	1.6811	-31.4625
56.7	1.1544	1.6875	-31.5948
56.8	1.1565	1.694	-31.7275
56.9	1.1587	1.7004	-31.8606
57	1.1608	1.7069	-31.9941
57.1	1.163	1.7135	-32.1279
57.2	1.1651	1.7201	-32.2622
57.3	1.1673	1.7267	-32.3968
57.4	1.1694	1.7333	-32.5319
57.5	1.1716	1.74	-32.6673
57.6	1.1737	1.7467	-32.8031
57.7	1.1759	1.7535	-32.9393
57.8	1.178	1.7603	-33.0759
57.9	1.1802	1.7671	-33.2128
58	1.1824	1.774	-33.3502
58.1	1.1845	1.7809	-33.488
58.2	1.1867	1.7878	-33.6261
58.3	1.1888	1.7948	-33.7647
58.4	1.191	1.8018	-33.9036
58.5	1.1931	1.8089	-34.043
58.6	1.1953	1.816	-34.1827
58.7	1.1974	1.8232	-34.3228
58.8	1.1996	1.8304	-34.4633
58.9	1.2017	1.8376	-34.6043
59	1.2039	1.8449	-34.7456
59.1	1.206	1.8522	-34.8873
59.2	1.2081	1.8595	-35.0294
59.3	1.2103	1.8669	-35.172
59.4	1.2124	1.8744	-35.3149
59.5	1.2146	1.8819	-35.4582
59.6	1.2167	1.8894	-35.6019
59.7	1.2189	1.897	-35.7461
59.8	1.221	1.9046	-35.8906
59.9	1.2232	1.9123	-36.0355
60	1.2253	1.92	-36.1809
60.1	1.2275	1.9277	-36.3266
60.2	1.2296	1.9356	-36.4728
60.3	1.2317	1.9434	-36.6194
60.4	1.2339	1.9513	-36.7663
60.5	1.236	1.9593	-36.9137
60.6	1.2382	1.9673	-37.0615
60.7	1.2403	1.9753	-37.2097
60.8	1.2425	1.9834	-37.3583
60.9	1.2446	1.9916	-37.5073
61	1.2467	1.9998	-37.6567
61.1	1.2489	2.0081	-37.8066
61.2	1.251	2.0164	-37.9568
61.3	1.2532	2.0247	-38.1075
61.4	1.2553	2.0331	-38.2586
61.5	1.2574	2.0416	-38.4101
61.6	1.2596	2.0501	-38.562
61.7	1.2617	2.0587	-38.7143
61.8	1.2638	2.0674	-38.867
61.9	1.266	2.076	-39.0202
62	1.2681	2.0848	-39.1738
62.1	1.2702	2.0936	-39.3278
62.2	1.2724	2.1025	-39.4822
62.3	1.2745	2.1114	-39.637
62.4	1.2766	2.1204	-39.7922
62.5	1.2788	2.1294	-39.9479
62.6	1.2809	2.1385	-40.104
62.7	1.283	2.1477	-40.2605
62.8	1.2851	2.1569	-40.4174
62.9	1.2873	2.1662	-40.5748
63	1.2894	2.1756	-40.7326
63.1	1.2915	2.185	-40.8908
63.2	1.2937	2.1945	-41.0494
63.3	1.2958	2.204	-41.2085
63.4	1.2979	2.2136	-41.3679
63.5	1.3	2.2233	-41.5278
63.6	1.3021	2.2331	-41.6882
63.7	1.3043	2.2429	-41.8489
63.8	1.3064	2.2528	-42.0101
63.9	1.3085	2.2627	-42.1717
64	1.3106	2.2728	-42.3338
64.1	1.3127	2.2829	-42.4962
64.2	1.3149	2.2931	-42.6591
64.3	1.317	2.3033	-42.8225
64.4	1.3191	2.3136	-42.9862
64.5	1.3212	2.324	-43.1504
64.6	1.3233	2.3345	-43.3151
64.7	1.3254	2.3451	-43.4801
64.8	1.3275	2.3557	-43.6456
64.9	1.3296	2.3664	-43.8115
65	1.3318	2.3772	-43.9779
65.1	1.3339	2.3881	-44.1447
65.2	1.336	2.399	-44.3119
65.3	1.3381	2.4101	-44.4796
65.4	1.3402	2.4212	-44.6477
65.5	1.3423	2.4324	-44.8162
65.6	1.3444	2.4437	-44.9852
65.7	1.3465	2.4551	-45.1546
65.8	1.3486	2.4665	-45.3245
65.9	1.3507	2.4781	-45.4947
66	1.3528	2.4897	-45.6655
66.1	1.3549	2.5015	-45.8366
66.2	1.357	2.5133	-46.0082
66.3	1.3591	2.5252	-46.1803
66.4	1.3612	2.5373	-46.3528
66.5	1.3633	2.5494	-46.5257
66.6	1.3654	2.5616	-46.6991
66.7	1.3674	2.5739	-46.8729
66.8	1.3695	2.5863	-47.0472
66.9	1.3716	2.5989	-47.2219
67	1.3737	2.6115	-47.397
67.1	1.3758	2.6242	-47.5726
67.2	1.3779	2.637	-47.7486
67.3	1.38	2.65	-47.9251
67.4	1.382	2.663	-48.102
67.5	1.3841	2.6762	-48.2794
67.6	1.3862	2.6894	-48.4572
67.7	1.3883	2.7028	-48.6355
67.8	1.3904	2.7163	-48.8142
67.9	1.3924	2.7299	-48.9934
68	1.3945	2.7436	-49.173
68.1	1.3966	2.7575	-49.353
68.2	1.3987	2.7715	-49.5336
68.3	1.4007	2.7855	-49.7145
68.4	1.4028	2.7998	-49.8959
68.5	1.4049	2.8141	-50.0778
68.6	1.4069	2.8286	-50.2601
68.7	1.409	2.8432	-50.4428
68.8	1.4111	2.8579	-50.6261
68.9	1.4131	2.8728	-50.8097
69	1.4152	2.8878	-50.9938
69.1	1.4172	2.9029	-51.1784
69.2	1.4193	2.9182	-51.3634
69.3	1.4213	2.9336	-51.5489
69.4	1.4234	2.9491	-51.7348
69.5	1.4255	2.9648	-51.9212
69.6	1.4275	2.9807	-52.1081
69.7	1.4296	2.9967	-52.2954
69.8	1.4316	3.0128	-52.4831
69.9	1.4336	3.0291	-52.6713
70	1.4357	3.0456	-52.86
70.1	1.4377	3.0622	-53.0491
70.2	1.4398	3.079	-53.2387
70.3	1.4418	3.0959	-53.4287
70.4	1.4439	3.113	-53.6192
70.5	1.4459	3.1303	-53.8102
70.6	1.4479	3.1478	-54.0016
70.7	1.45	3.1654	-54.1935
70.8	1.452	3.1832	-54.3858
70.9	1.454	3.2012	-54.5786
71	1.456	3.2193	-54.7718
71.1	1.4581	3.2377	-54.9655
71.2	1.4601	3.2562	-55.1597
71.3	1.4621	3.2749	-55.3543
